,Revenue Growth %,EBITDA Margin %,Net Margin %,ROE %,ROCE %,Debt/Equity (x),Interest Coverage (x),Asset Turnover (x),CFO/EBITDA (x),FCF Margin %
FY20,,4.6593186372745485,1.9539078156312624,,,0.5268456375838926,1.9411764705882353,2.1279317697228146,0.8924731182795699,1.6032064128256511
FY21,-2.1543086172344683,4.352278545826933,2.457757296466974,14.930015552099535,9.824561403508772,0.9855072463768116,1.8064516129032258,1.5245901639344261,0.788235294117647,-1.7921146953405016
FY22,46.1341525857655,3.7140854940434482,2.8030833917309037,20.69857697283312,8.536585365853659,0.8481308411214953,1.5365853658536586,1.3249767873723306,6.584905660377358,7.077785564120533
FY23,136.54519971969168,12.383350614723744,7.406310176270183,44.1306266548985,45.574771108850456,0.17410228509249184,8.195121951219512,0.9116812964213369,1.8660287081339713,10.339209006073174
FY24,68.83424677825506,13.809440252675909,11.177399543779611,42.99696253796827,38.15266951022209,0.13527397260273974,9.264285714285714,1.0108194395175594,1.4644218551461246,8.492718020705386
FY25,26.72398666432707,18.845195236776515,13.348103018554417,28.42190609567333,30.289183367060513,0.12649013609030488,15.263157894736842,0.7329747285090835,1.16017634092579,-0.7892550540016616
FY26,83.72334533370258,22.267023401288768,14.636168368692767,32.47898983986286,34.727664231000034,0.22253774761047238,17.567857142857143,0.8811595165360606,0.27534269757996277,-12.092550024494104
